severity,cvss3_score,cve,Title,external_references,Version,Name,condition,published,updated,Architecture
Critical,9.8,CVE-2022-41903,CVE-2022-41903 affects git,"[""https://github.com/git/git/security/advisories/GHSA-475x-2q3q-hvwq"",""https://github.com/git/git/commit/508386c6c5857b4faa2c3e491f422c98cc69ae76"",""https://git-scm.com/book/en/v2/Customizing-Git-Git-Attributes#_export_subst"",""https://git-scm.com/docs/pretty-formats#Documentation/pretty-formats.txt-emltltNgttruncltruncmtruncem"",""https://nvd.nist.gov/vuln/detail/CVE-2022-41903"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-41903""]",1:2.30.2-1,git,Package less than 1:2.30.2-1+deb11u1,1/17/2023,1/25/2023,amd64
Critical,9.8,CVE-2022-23521,CVE-2022-23521 affects git-man,"[""https://github.com/git/git/security/advisories/GHSA-c738-c5qq-xg89"",""https://github.com/git/git/commit/508386c6c5857b4faa2c3e491f422c98cc69ae76"",""https://nvd.nist.gov/vuln/detail/CVE-2022-23521"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-23521""]",1:2.30.2-1,git-man,Package less than 1:2.30.2-1+deb11u1,1/17/2023,1/26/2023,all
Critical,9.8,CVE-2022-41903,CVE-2022-41903 affects git-man,"[""https://github.com/git/git/security/advisories/GHSA-475x-2q3q-hvwq"",""https://github.com/git/git/commit/508386c6c5857b4faa2c3e491f422c98cc69ae76"",""https://git-scm.com/book/en/v2/Customizing-Git-Git-Attributes#_export_subst"",""https://git-scm.com/docs/pretty-formats#Documentation/pretty-formats.txt-emltltNgttruncltruncmtruncem"",""https://nvd.nist.gov/vuln/detail/CVE-2022-41903"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-41903""]",1:2.30.2-1,git-man,Package less than 1:2.30.2-1+deb11u1,1/17/2023,1/25/2023,all
Critical,9.1,CVE-2023-25725,CVE-2023-25725 affects haproxy,"[""https://www.haproxy.org/"",""https://git.haproxy.org/?p=haproxy-2.7.git;a=commit;h=a0e561ad7f29ed50c473f5a9da664267b60d1112"",""https://lists.debian.org/debian-lts-announce/2023/02/msg00012.html"",""https://www.debian.org/security/2023/dsa-5348"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/JM5NCIBTHYDTLPY2UNC4HO2VAHHE6CJG/"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/FPTJQHKUEU2PQ7RWFUYAFLAD4STEIKHU/"",""https://nvd.nist.gov/vuln/detail/CVE-2023-25725"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-25725""]",2.2.9-2+deb11u3,haproxy,Package less than 2.2.9-2+deb11u4,2/14/2023,2/25/2023,amd64
Critical,9.8,CVE-2022-24963,CVE-2022-24963 affects libapr1,"[""https://lists.apache.org/thread/fw9p6sdncwsjkstwc066vz57xqzfksq9"",""https://nvd.nist.gov/vuln/detail/CVE-2022-24963"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-24963""]",1.7.0-6+deb11u1,libapr1,Package less than 1.7.0-6+deb11u2,1/31/2023,2/7/2023,amd64
Critical,9.8,CVE-2022-25147,CVE-2022-25147 affects libaprutil1,"[""https://lists.apache.org/thread/np5gjqlohc4f62lr09vrn61vl44cylh8"",""https://nvd.nist.gov/vuln/detail/CVE-2022-25147"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-25147""]",1.6.1-5,libaprutil1,Package less than 1.6.1-5+deb11u1,1/31/2023,2/7/2023,amd64
Critical,9.8,CVE-2022-25147,CVE-2022-25147 affects libaprutil1-dbd-sqlite3,"[""https://lists.apache.org/thread/np5gjqlohc4f62lr09vrn61vl44cylh8"",""https://nvd.nist.gov/vuln/detail/CVE-2022-25147"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-25147""]",1.6.1-5,libaprutil1-dbd-sqlite3,Package less than 1.6.1-5+deb11u1,1/31/2023,2/7/2023,amd64
Critical,9.8,CVE-2022-25147,CVE-2022-25147 affects libaprutil1-ldap,"[""https://lists.apache.org/thread/np5gjqlohc4f62lr09vrn61vl44cylh8"",""https://nvd.nist.gov/vuln/detail/CVE-2022-25147"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-25147""]",1.6.1-5,libaprutil1-ldap,Package less than 1.6.1-5+deb11u1,1/31/2023,2/7/2023,amd64
Critical,9.8,CVE-2022-36227,CVE-2022-36227 affects libarchive13,"[""https://github.com/libarchive/libarchive/issues/1754"",""https://bugs.gentoo.org/882521"",""https://github.com/libarchive/libarchive/blob/v3.0.0a/libarchive/archive_write.c#L215"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/V67OO2UUQAUJS3IK4JZPF6F3LUCBU6IS/"",""https://lists.debian.org/debian-lts-announce/2023/01/msg00034.html"",""https://nvd.nist.gov/vuln/detail/CVE-2022-36227"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-36227""]",3.4.3-2+deb11u1,libarchive13,Package unfixed,11/22/2022,2/6/2023,amd64
Critical,9.1,CVE-2021-4048,CVE-2021-4048 affects libblas3,"[""https://github.com/JuliaLang/julia/issues/42415"",""https://github.com/xianyi/OpenBLAS/commit/337b65133df174796794871b3988cd03426e6d41"",""https://github.com/xianyi/OpenBLAS/commit/2be5ee3cca97a597f2ee2118808a2d5eacea050c"",""https://github.com/xianyi/OpenBLAS/commit/ddb0ff5353637bb5f5ad060c9620e334c143e3d7"",""https://github.com/Reference-LAPACK/lapack/commit/38f3eeee3108b18158409ca2a100e6fe03754781"",""https://github.com/Reference-LAPACK/lapack/pull/625"",""https://github.com/xianyi/OpenBLAS/commit/fe497efa0510466fd93578aaf9da1ad8ed4edbe7"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/6QFEVOCUG2UXMVMFMTU4ONJVDEHY2LW2/"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/DROZM4M2QRKSD6FBO4BHSV2QMIRJQPHT/"",""https://nvd.nist.gov/vuln/detail/CVE-2021-4048"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-4048""]",3.9.0-3,libblas3,Package unfixed,12/8/2021,1/4/2022,amd64
Critical,10,CVE-2022-3643,CVE-2022-3643 affects libcpupower1,"[""https://xenbits.xenproject.org/xsa/advisory-423.txt"",""http://www.openwall.com/lists/oss-security/2022/12/07/2"",""https://lists.debian.org/debian-lts-announce/2022/12/msg00031.html"",""https://lists.debian.org/debian-lts-announce/2022/12/msg00034.html"",""https://nvd.nist.gov/vuln/detail/CVE-2022-3643"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-3643""]",5.10.140-1,libcpupower1,Package less than 5.10.158-1,12/7/2022,1/10/2023,amd64
Critical,9.8,CVE-2022-32221,CVE-2022-32221 affects libcurl3-gnutls,"[""https://hackerone.com/reports/1704017"",""https://security.gentoo.org/glsa/202212-01"",""https://security.netapp.com/advisory/ntap-20230110-0006/"",""https://support.apple.com/kb/HT213604"",""https://support.apple.com/kb/HT213605"",""http://seclists.org/fulldisclosure/2023/Jan/20"",""http://seclists.org/fulldisclosure/2023/Jan/19"",""https://www.debian.org/security/2023/dsa-5330"",""https://lists.debian.org/debian-lts-announce/2023/01/msg00028.html"",""https://security.netapp.com/advisory/ntap-20230208-0002/"",""https://nvd.nist.gov/vuln/detail/CVE-2022-32221"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-32221"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-43552""]",7.74.0-1.3+deb11u2,libcurl3-gnutls,Package less than 7.74.0-1.3+deb11u5,12/5/2022,3/1/2023,amd64
Critical,9.8,CVE-2022-32221,CVE-2022-32221 affects libcurl4,"[""https://hackerone.com/reports/1704017"",""https://security.gentoo.org/glsa/202212-01"",""https://security.netapp.com/advisory/ntap-20230110-0006/"",""https://support.apple.com/kb/HT213604"",""https://support.apple.com/kb/HT213605"",""http://seclists.org/fulldisclosure/2023/Jan/20"",""http://seclists.org/fulldisclosure/2023/Jan/19"",""https://www.debian.org/security/2023/dsa-5330"",""https://lists.debian.org/debian-lts-announce/2023/01/msg00028.html"",""https://security.netapp.com/advisory/ntap-20230208-0002/"",""https://nvd.nist.gov/vuln/detail/CVE-2022-32221"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-32221"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-43552""]",7.74.0-1.3+deb11u3,libcurl4,Package less than 7.74.0-1.3+deb11u5,12/5/2022,3/1/2023,amd64
Critical,9.8,CVE-2022-3515,CVE-2022-3515 affects libksba8,"[""https://dev.gnupg.org/rK4b7d9cd4a018898d7714ce06f3faf2626c14582b"",""https://access.redhat.com/security/cve/CVE-2022-3515"",""https://www.gnupg.org/blog/20221017-pepe-left-the-ksba.html"",""https://bugzilla.redhat.com/show_bug.cgi?id=2135610"",""https://nvd.nist.gov/vuln/detail/CVE-2022-3515"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-3515""]",1.5.0-3,libksba8,Package less than 1.5.0-3+deb11u1,1/12/2023,1/20/2023,amd64
Critical,9.8,CVE-2022-47629,CVE-2022-47629 affects libksba8,"[""https://dev.gnupg.org/T6284"",""https://git.gnupg.org/cgi-bin/gitweb.cgi?p=libksba.git;a=commit;h=f61a5ea4e0f6a80fd4b28ef0174bee77793cf070"",""https://www.debian.org/security/2022/dsa-5305"",""https://lists.debian.org/debian-lts-announce/2022/12/msg00035.html"",""https://security.gentoo.org/glsa/202212-07"",""https://security.netapp.com/advisory/ntap-20230316-0011/"",""https://nvd.nist.gov/vuln/detail/CVE-2022-47629"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-47629""]",1.5.0-3,libksba8,Package less than 1.5.0-3+deb11u2,12/20/2022,3/16/2023,amd64
Critical,9.1,CVE-2021-4048,CVE-2021-4048 affects liblapack3,"[""https://github.com/JuliaLang/julia/issues/42415"",""https://github.com/xianyi/OpenBLAS/commit/337b65133df174796794871b3988cd03426e6d41"",""https://github.com/xianyi/OpenBLAS/commit/2be5ee3cca97a597f2ee2118808a2d5eacea050c"",""https://github.com/xianyi/OpenBLAS/commit/ddb0ff5353637bb5f5ad060c9620e334c143e3d7"",""https://github.com/Reference-LAPACK/lapack/commit/38f3eeee3108b18158409ca2a100e6fe03754781"",""https://github.com/Reference-LAPACK/lapack/pull/625"",""https://github.com/xianyi/OpenBLAS/commit/fe497efa0510466fd93578aaf9da1ad8ed4edbe7"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/6QFEVOCUG2UXMVMFMTU4ONJVDEHY2LW2/"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/DROZM4M2QRKSD6FBO4BHSV2QMIRJQPHT/"",""https://nvd.nist.gov/vuln/detail/CVE-2021-4048"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-4048""]",3.9.0-3,liblapack3,Package unfixed,12/8/2021,1/4/2022,amd64
Critical,9.8,CVE-2022-48468,CVE-2022-48468 affects libprotobuf-c1,"[""https://github.com/protobuf-c/protobuf-c/issues/499"",""https://github.com/protobuf-c/protobuf-c/pull/513"",""https://github.com/protobuf-c/protobuf-c/commit/ec3d900001a13ccdaa8aef996b34c61159c76217"",""https://github.com/protobuf-c/protobuf-c/releases/tag/v1.4.1"",""https://nvd.nist.gov/vuln/detail/CVE-2022-48468"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-48468""]",1.3.3-1,libprotobuf-c1,Package unfixed,4/13/2023,4/21/2023,amd64
Critical,9.1,CVE-2021-46848,CVE-2021-46848 affects libtasn1-6,"[""https://gitlab.com/gnutls/libtasn1/-/issues/32"",""https://bugs.gentoo.org/866237"",""https://gitlab.com/gnutls/libtasn1/-/commit/44a700d2051a666235748970c2df047ff207aeb5"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/AV4SHDJF2XLB4CUPTBPQQ6CLGZ5LKXPZ/"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/OGO7XST4EIJGX4B2ITZCYSWM24534BSU/"",""https://security.netapp.com/advisory/ntap-20221118-0006/"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/V5LWOGF7QRMNFRUCZY6TDYQJVFI6MOQ2/"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/ECM2ELTVRYV4BZ5L5GMIRQE27RFHPAQ6/"",""https://lists.debian.org/debian-lts-announce/2023/01/msg00003.html"",""https://nvd.nist.gov/vuln/detail/CVE-2021-46848"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-46848""]",4.16.0-2,libtasn1-6,Package less than 4.16.0-2+deb11u1,10/24/2022,1/20/2023,amd64
Critical,9.8,CVE-2021-3782,CVE-2021-3782 affects libwayland-client0,"[""https://gitlab.freedesktop.org/wayland/wayland/-/issues/224"",""https://nvd.nist.gov/vuln/detail/CVE-2021-3782"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-3782""]",1.18.0-2~exp1.1,libwayland-client0,Package unfixed,9/23/2022,9/26/2022,amd64
Critical,9.8,CVE-2021-3782,CVE-2021-3782 affects libwayland-cursor0,"[""https://gitlab.freedesktop.org/wayland/wayland/-/issues/224"",""https://nvd.nist.gov/vuln/detail/CVE-2021-3782"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-3782""]",1.18.0-2~exp1.1,libwayland-cursor0,Package unfixed,9/23/2022,9/26/2022,amd64
Critical,9.8,CVE-2021-3782,CVE-2021-3782 affects libwayland-egl1,"[""https://gitlab.freedesktop.org/wayland/wayland/-/issues/224"",""https://nvd.nist.gov/vuln/detail/CVE-2021-3782"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-3782""]",1.18.0-2~exp1.1,libwayland-egl1,Package unfixed,9/23/2022,9/26/2022,amd64
Critical,9.8,CVE-2021-3782,CVE-2021-3782 affects libwayland-server0,"[""https://gitlab.freedesktop.org/wayland/wayland/-/issues/224"",""https://nvd.nist.gov/vuln/detail/CVE-2021-3782"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-3782""]",1.18.0-2~exp1.1,libwayland-server0,Package unfixed,9/23/2022,9/26/2022,amd64
Critical,10,CVE-2022-3643,CVE-2022-3643 affects linux-cpupower,"[""https://xenbits.xenproject.org/xsa/advisory-423.txt"",""http://www.openwall.com/lists/oss-security/2022/12/07/2"",""https://lists.debian.org/debian-lts-announce/2022/12/msg00031.html"",""https://lists.debian.org/debian-lts-announce/2022/12/msg00034.html"",""https://nvd.nist.gov/vuln/detail/CVE-2022-3643"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-3643""]",5.10.140-1,linux-cpupower,Package less than 5.10.158-1,12/7/2022,1/10/2023,amd64
Critical,10,CVE-2022-3643,CVE-2022-3643 affects linux-perf,"[""https://xenbits.xenproject.org/xsa/advisory-423.txt"",""http://www.openwall.com/lists/oss-security/2022/12/07/2"",""https://lists.debian.org/debian-lts-announce/2022/12/msg00031.html"",""https://lists.debian.org/debian-lts-announce/2022/12/msg00034.html"",""https://nvd.nist.gov/vuln/detail/CVE-2022-3643"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-3643""]",5.10.140-1,linux-perf,Package less than 5.10.158-1,12/7/2022,1/10/2023,amd64
Critical,10,CVE-2022-3643,CVE-2022-3643 affects linux-perf-5.10,"[""https://xenbits.xenproject.org/xsa/advisory-423.txt"",""http://www.openwall.com/lists/oss-security/2022/12/07/2"",""https://lists.debian.org/debian-lts-announce/2022/12/msg00031.html"",""https://lists.debian.org/debian-lts-announce/2022/12/msg00034.html"",""https://nvd.nist.gov/vuln/detail/CVE-2022-3643"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-3643""]",5.10.140-1,linux-perf-5.10,Package less than 5.10.158-1,12/7/2022,1/10/2023,amd64
Critical,9.8,CVE-2022-0547,CVE-2022-0547 affects openvpn,"[""https://openvpn.net/community-downloads/"",""https://community.openvpn.net/openvpn/wiki/SecurityAnnouncements"",""https://community.openvpn.net/openvpn/wiki/CVE-2022-0547"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/R36OYC5SJ6FLPVAYJYYT4MOJ2I7MGYFF/"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/GFXJ35WKPME4HYNQCQNAJHLCZOJL2SAE/"",""https://lists.debian.org/debian-lts-announce/2022/05/msg00002.html"",""https://nvd.nist.gov/vuln/detail/CVE-2022-0547"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-0547""]",2.5.1-3,openvpn,Package unfixed,3/18/2022,9/9/2022,amd64
Critical,9.8,CVE-2021-38578,CVE-2021-38578 affects ovmf,"[""https://bugzilla.tianocore.org/show_bug.cgi?id=3387"",""https://nvd.nist.gov/vuln/detail/CVE-2021-38578"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-38578""]",2020.11-2+deb11u1,ovmf,Package unfixed,3/3/2022,12/3/2022,all
High,7.5,CVE-2023-27522,CVE-2023-27522 affects apache2,"[""https://httpd.apache.org/security/vulnerabilities_24.html"",""https://lists.debian.org/debian-lts-announce/2023/04/msg00028.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-27522"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-27522""]",2.4.54-1~deb11u1,apache2,Package less than 2.4.56-1~deb11u1,3/7/2023,4/25/2023,amd64
High,7.5,CVE-2023-27522,CVE-2023-27522 affects apache2-bin,"[""https://httpd.apache.org/security/vulnerabilities_24.html"",""https://lists.debian.org/debian-lts-announce/2023/04/msg00028.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-27522"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-27522""]",2.4.54-1~deb11u1,apache2-bin,Package less than 2.4.56-1~deb11u1,3/7/2023,4/25/2023,amd64
High,7.5,CVE-2023-27522,CVE-2023-27522 affects apache2-data,"[""https://httpd.apache.org/security/vulnerabilities_24.html"",""https://lists.debian.org/debian-lts-announce/2023/04/msg00028.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-27522"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-27522""]",2.4.54-1~deb11u1,apache2-data,Package less than 2.4.56-1~deb11u1,3/7/2023,4/25/2023,all
High,7.5,CVE-2023-27522,CVE-2023-27522 affects apache2-utils,"[""https://httpd.apache.org/security/vulnerabilities_24.html"",""https://lists.debian.org/debian-lts-announce/2023/04/msg00028.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-27522"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-27522""]",2.4.54-1~deb11u1,apache2-utils,Package less than 2.4.56-1~deb11u1,3/7/2023,4/25/2023,amd64
High,7.8,CVE-2022-3715,CVE-2022-3715 affects bash,"[""https://bugzilla.redhat.com/show_bug.cgi?id=2126720"",""https://nvd.nist.gov/vuln/detail/CVE-2022-3715"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-3715""]",5.1-2+deb11u1,bash,Package unfixed,1/5/2023,2/24/2023,amd64
High,7.5,CVE-2022-3924,CVE-2022-3924 affects bind9-dnsutils,"[""https://kb.isc.org/docs/cve-2022-3924"",""https://nvd.nist.gov/vuln/detail/CVE-2022-3924"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-3924""]",1:9.16.27-1~deb11u1,bind9-dnsutils,Package less than 1:9.16.37-1~deb11u1,1/26/2023,2/6/2023,amd64
High,7.5,CVE-2022-3736,CVE-2022-3736 affects bind9-dnsutils,"[""https://kb.isc.org/docs/cve-2022-3736"",""https://nvd.nist.gov/vuln/detail/CVE-2022-3736"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-3736""]",1:9.16.27-1~deb11u1,bind9-dnsutils,Package less than 1:9.16.37-1~deb11u1,1/26/2023,2/3/2023,amd64
High,7.5,CVE-2022-3080,CVE-2022-3080 affects bind9-dnsutils,"[""https://kb.isc.org/docs/cve-2022-3080"",""http://www.openwall.com/lists/oss-security/2022/09/21/3"",""https://www.debian.org/security/2022/dsa-5235"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/CV4GQWBPF7Y52J2FA24U6UMHQAOXZEF7/"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/MRHB6J4Z7BKH4HPEKG5D35QGRD6ANNMT/"",""https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/YZJQNUASODNVAWZV6STKG5SD6XIJ446S/"",""https://security.gentoo.org/glsa/202210-25"",""https://nvd.nist.gov/vuln/detail/CVE-2022-3080"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-3080""]",1:9.16.27-1~deb11u1,bind9-dnsutils,Package less than 1:9.16.33-1~deb11u1,9/21/2022,12/3/2022,amd64
High,7.5,CVE-2022-3094,CVE-2022-3094 affects bind9-dnsutils,"[""https://kb.isc.org/docs/cve-2022-3094"",""https://nvd.nist.gov/vuln/detail/CVE-2022-3094"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-3094"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-3736"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-3924""]",1:9.16.27-1~deb11u1,bind9-dnsutils,Package less than 1:9.16.37-1~deb11u1,1/26/2023,2/3/2023,amd64
